CancerTypes,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Overall,Percentile
ACC,0,1,1,1,0,0,0,0,0,0,0,56
BLCA,0,0,0,0,0,0,0,0,0,0,0,50
BRCA,0,0,0,0,0,0,0,0,0,0,0,50
CESC,0,0,0,0,0,0,0,0,0,0,0,50
ESCA,0,0,0,0,0,0,0,0,2,3,0,50
GBM,0,0,0,0,0,0,0,0,0,3,0,50
GBMLGG,0,0,0,0,0,0,0,0,0,0,0,50
HNSC,0,0,0,0,0,1,1,0,0,0,0,50
LGG,0,0,0,0,0,2,2,0,0,0,0,50
LUAD,0,0,0,0,0,0,0,1,1,1,1,50
LUSC,0,0,0,0,0,0,0,0,0,0,0,50
MESO,0,0,0,0,0,0,0,0,0,0,0,50
PAAD,0,0,0,0,0,2,2,2,2,2,0,50
PRAD,0,0,0,0,0,0,0,0,0,0,0,50
SARC,0,0,0,0,0,0,0,0,0,0,0,50
SKCM,0,0,0,0,0,0,0,0,0,0,0,50
STAD,0,0,0,1,1,1,1,1,1,1,0,50
STES,0,0,0,0,0,0,0,0,0,0,0,73
THCA,0,0,0,0,0,0,0,0,0,0,0,50
THYM,0,0,0,0,0,0,0,0,0,0,0,50
UCEC,0,1,0,0,0,0,0,0,0,0,1,50
UCS,0,0,0,0,0,0,0,0,0,3,0,50
